feature,importance
shop_id,0.2835364940495618
standard_price,0.17854436102914303
product_id,0.17673948767441228
payment_method_encoded,0.09963869972098145
brand_encoded,0.09141047991086687
category_encoded,0.04743598582677596
customer_id,0.02058597379122579
age,0.019671771110638576
city_encoded,0.019009970438730206
visits_per_month,0.01882847220460841
price_vs_avg_spending_ratio,0.017161687890715042
avg_monthly_spending,0.01678824880606589
gender_encoded,0.010595111185928367
day_of_week,3.9427778421616696e-05
hour,1.3828581924531798e-05
month,0.0
is_weekend,0.0
