transaction_id,customer_id,product_id,shop_id,quantity,actual_price,transaction_date,payment_method,transaction_type,unit_price,total_amount,transaction_time,city,district
T1001,1,1,1,2,100.0,2024-07-12T10:30:00,Cash,,,,,,
T1002,2,2,2,1,450.0,2024-07-11T14:15:00,Card,,,,,,
T1003,3,3,3,3,260.0,2024-07-10T09:45:00,Digital,,,,,,
T1004,4,4,4,1,380.0,2024-07-09T16:20:00,Cash,,,,,,
T1005,5,5,5,2,75.0,2024-07-08T11:10:00,Card,,,,,,
1,5,144,15,1,,,CASH,SALE,19.89,19.89,2023-11-07,Kathmandu,Bhaktapur
2,3,59,47,3,,,UPI,SALE,277.66,832.98,2023-03-14,Biratnagar,Bhaktapur
3,2,14,3,6,,,CASH,SALE,145.42,872.52,2023-09-09,Bhaktapur,Lalitpur
4,3,76,34,9,,,UPI,SALE,210.5,1894.5,2023-06-05,Biratnagar,Kaski
5,2,194,24,5,,,UPI,SALE,113.83,569.15,2023-12-10,Bhaktapur,Morang
6,2,107,36,6,,,CARD,SALE,457.24,2743.44,2023-06-09,Bhaktapur,Kaski
7,3,141,44,5,,,UPI,SALE,374.16,1870.8,2023-07-11,Biratnagar,Kathmandu
8,3,18,48,8,,,CARD,SALE,12.51,100.08,2023-11-20,Biratnagar,Lalitpur
9,4,75,32,2,,,CARD,SALE,364.25,728.5,2023-03-15,Lalitpur,Morang
10,2,171,39,3,,,CASH,SALE,231.46,694.38,2023-10-04,Bhaktapur,Kathmandu
11,5,192,17,9,,,CASH,SALE,230.66,2075.94,2023-08-11,Kathmandu,Morang
12,2,193,41,5,,,CASH,SALE,57.22,286.1,2023-03-10,Bhaktapur,Bhaktapur
13,3,126,31,7,,,UPI,SALE,173.38,1213.66,2023-04-25,Biratnagar,Kaski
14,4,8,1,5,,,CARD,SALE,207.2,1036.0,2023-09-06,Lalitpur,Bhaktapur
15,3,72,29,7,,,UPI,SALE,143.03,1001.21,2023-03-02,Biratnagar,Lalitpur
16,5,3,13,6,,,UPI,SALE,233.43,1400.58,2023-05-21,Kathmandu,Morang
17,3,142,50,1,,,CARD,SALE,421.22,421.22,2023-06-19,Biratnagar,Kaski
18,3,4,50,1,,,CARD,SALE,406.54,406.54,2023-03-07,Biratnagar,Kaski
19,3,99,34,7,,,UPI,SALE,197.91,1385.37,2023-04-29,Biratnagar,Kaski
20,2,175,10,1,,,UPI,SALE,445.74,445.74,2023-03-23,Bhaktapur,Kaski
21,1,120,4,1,,,CASH,SALE,240.23,240.23,2023-01-10,Pokhara,Lalitpur
22,1,82,21,3,,,UPI,SALE,287.26,861.78,2023-05-01,Pokhara,Morang
23,2,157,42,3,,,CARD,SALE,391.47,1174.41,2023-04-25,Bhaktapur,Kathmandu
24,4,172,19,4,,,CASH,SALE,508.81,2035.24,2023-02-11,Lalitpur,Kaski
25,5,75,7,4,,,CASH,SALE,368.25,1473.0,2023-09-06,Kathmandu,Lalitpur
26,5,29,12,8,,,UPI,SALE,179.76,1438.08,2023-10-11,Kathmandu,Morang
27,3,50,47,5,,,UPI,SALE,52.32,261.6,2023-12-30,Biratnagar,Bhaktapur
28,2,153,36,3,,,CARD,SALE,220.55,661.65,2023-12-26,Bhaktapur,Kaski
29,4,180,35,8,,,CARD,SALE,57.27,458.16,2023-07-03,Lalitpur,Morang
30,2,55,36,5,,,CASH,SALE,215.84,1079.2,2023-05-23,Bhaktapur,Kaski
31,4,167,37,6,,,UPI,SALE,190.0,1140.0,2023-10-26,Lalitpur,Kathmandu
32,4,125,35,4,,,CASH,SALE,100.63,402.52,2023-04-16,Lalitpur,Morang
33,1,72,21,3,,,CASH,SALE,147.25,441.75,2023-05-01,Pokhara,Morang
34,3,18,40,4,,,CASH,SALE,11.14,44.56,2023-05-09,Biratnagar,Bhaktapur
35,2,178,26,1,,,UPI,SALE,16.72,16.72,2023-02-05,Bhaktapur,Bhaktapur
36,2,180,24,7,,,UPI,SALE,57.34,401.38,2023-01-22,Bhaktapur,Morang
37,3,5,29,8,,,UPI,SALE,73.08,584.64,2023-10-02,Biratnagar,Lalitpur
38,5,56,11,6,,,CASH,SALE,115.31,691.86,2023-06-25,Kathmandu,Kaski
39,4,34,37,8,,,UPI,SALE,105.91,847.28,2023-04-19,Lalitpur,Kathmandu
40,4,137,19,4,,,UPI,SALE,468.77,1875.08,2023-10-11,Lalitpur,Kaski
41,5,143,17,1,,,UPI,SALE,329.16,329.16,2023-11-16,Kathmandu,Morang
42,4,76,33,5,,,CARD,SALE,222.08,1110.4,2023-03-28,Lalitpur,Kaski
43,4,81,35,8,,,CARD,SALE,196.72,1573.76,2023-01-27,Lalitpur,Morang
44,5,147,23,10,,,UPI,SALE,251.94,2519.4,2023-04-28,Kathmandu,Bhaktapur
45,2,135,39,1,,,CARD,SALE,44.15,44.15,2023-09-24,Bhaktapur,Kathmandu
46,4,97,14,4,,,CASH,SALE,338.92,1355.68,2023-07-21,Lalitpur,Morang
47,4,136,25,1,,,UPI,SALE,322.74,322.74,2023-03-04,Lalitpur,Kaski
48,2,181,42,7,,,UPI,SALE,248.66,1740.62,2023-09-20,Bhaktapur,Kathmandu
49,3,80,31,8,,,CASH,SALE,248.59,1988.72,2023-02-07,Biratnagar,Kaski
50,3,190,29,8,,,UPI,SALE,275.01,2200.08,2023-03-28,Biratnagar,Lalitpur
51,1,156,20,4,,,UPI,SALE,128.88,515.52,2023-08-17,Pokhara,Kathmandu
52,4,3,19,1,,,CASH,SALE,234.48,234.48,2023-06-19,Lalitpur,Kaski
53,3,139,40,7,,,CASH,SALE,102.42,716.94,2023-05-30,Biratnagar,Bhaktapur
54,1,152,4,9,,,UPI,SALE,482.88,4345.92,2023-11-13,Pokhara,Lalitpur
55,5,113,28,1,,,UPI,SALE,342.79,342.79,2023-01-12,Kathmandu,Morang
56,4,161,46,7,,,UPI,SALE,209.13,1463.91,2023-02-27,Lalitpur,Kathmandu
57,1,179,4,9,,,CASH,SALE,101.49,913.41,2023-05-01,Pokhara,Lalitpur
58,2,116,42,9,,,CASH,SALE,415.11,3735.99,2023-11-04,Bhaktapur,Kathmandu
59,2,79,36,8,,,UPI,SALE,333.44,2667.52,2023-05-27,Bhaktapur,Kaski
60,1,28,4,4,,,CARD,SALE,451.11,1804.44,2023-09-06,Pokhara,Lalitpur
61,3,132,16,10,,,CARD,SALE,179.32,1793.2,2023-05-24,Biratnagar,Morang
62,3,130,31,3,,,CASH,SALE,100.27,300.81,2023-07-11,Biratnagar,Kaski
63,4,104,46,4,,,CARD,SALE,304.82,1219.28,2023-10-25,Lalitpur,Kathmandu
64,2,147,22,9,,,CASH,SALE,235.72,2121.48,2023-09-18,Bhaktapur,Kathmandu
65,1,61,8,7,,,UPI,SALE,360.75,2525.25,2023-08-08,Pokhara,Kaski
66,2,164,39,5,,,UPI,SALE,318.02,1590.1,2023-07-15,Bhaktapur,Kathmandu
67,2,119,24,4,,,CASH,SALE,278.58,1114.32,2023-10-09,Bhaktapur,Morang
68,4,142,35,5,,,CARD,SALE,397.32,1986.6,2023-09-16,Lalitpur,Morang
69,4,162,37,5,,,CARD,SALE,131.07,655.35,2023-07-14,Lalitpur,Kathmandu
70,3,160,50,4,,,CASH,SALE,387.98,1551.92,2023-08-07,Biratnagar,Kaski
71,5,61,7,4,,,CARD,SALE,415.85,1663.4,2023-03-29,Kathmandu,Lalitpur
72,2,47,3,10,,,CARD,SALE,82.82,828.2,2023-01-03,Bhaktapur,Lalitpur
73,4,114,18,4,,,CARD,SALE,235.68,942.72,2023-03-24,Lalitpur,Morang
74,2,170,36,8,,,CARD,SALE,411.56,3292.48,2023-11-02,Bhaktapur,Kaski
75,3,97,44,3,,,CARD,SALE,382.44,1147.32,2023-09-08,Biratnagar,Kathmandu
76,2,82,24,2,,,CASH,SALE,275.96,551.92,2023-11-09,Bhaktapur,Morang
77,3,52,40,9,,,UPI,SALE,183.74,1653.66,2023-01-16,Biratnagar,Bhaktapur
78,4,176,46,3,,,UPI,SALE,208.03,624.09,2023-06-10,Lalitpur,Kathmandu
79,3,108,6,2,,,UPI,SALE,324.09,648.18,2023-06-15,Biratnagar,Kathmandu
80,4,70,46,9,,,CARD,SALE,354.3,3188.7,2023-08-04,Lalitpur,Kathmandu
81,3,85,47,3,,,UPI,SALE,350.27,1050.81,2023-12-03,Biratnagar,Bhaktapur
82,5,7,7,1,,,CASH,SALE,275.78,275.78,2023-01-26,Kathmandu,Lalitpur
83,1,93,8,4,,,CASH,SALE,170.23,680.92,2023-07-06,Pokhara,Kaski
84,4,104,25,10,,,CARD,SALE,362.92,3629.2,2023-06-19,Lalitpur,Kaski
85,5,14,28,7,,,UPI,SALE,147.55,1032.85,2023-03-22,Kathmandu,Morang
86,2,56,42,3,,,CARD,SALE,121.74,365.22,2023-05-23,Bhaktapur,Kathmandu
87,3,26,40,9,,,CARD,SALE,33.34,300.06,2023-07-05,Biratnagar,Bhaktapur
88,3,60,44,10,,,CASH,SALE,104.63,1046.3,2023-09-08,Biratnagar,Kathmandu
89,4,200,37,7,,,CARD,SALE,264.78,1853.46,2023-12-18,Lalitpur,Kathmandu
90,5,49,23,6,,,CASH,SALE,54.78,328.68,2023-09-27,Kathmandu,Bhaktapur
91,4,34,35,6,,,CASH,SALE,113.18,679.08,2023-06-26,Lalitpur,Morang
92,5,96,23,3,,,CASH,SALE,252.39,757.17,2023-04-04,Kathmandu,Bhaktapur
93,1,22,8,7,,,UPI,SALE,21.36,149.52,2023-09-23,Pokhara,Kaski
94,4,137,32,6,,,CARD,SALE,405.58,2433.48,2023-01-23,Lalitpur,Morang
95,4,1,35,7,,,CARD,SALE,100.01,700.07,2023-10-15,Lalitpur,Morang
96,4,75,14,1,,,UPI,SALE,352.95,352.95,2023-08-15,Lalitpur,Morang
97,2,92,10,7,,,CASH,SALE,167.77,1174.39,2023-04-19,Bhaktapur,Kaski
98,4,133,19,1,,,UPI,SALE,80.66,80.66,2023-04-27,Lalitpur,Kaski
99,3,178,2,8,,,UPI,SALE,16.79,134.32,2023-03-06,Biratnagar,Kathmandu
100,3,62,40,1,,,CASH,SALE,319.82,319.82,2023-12-06,Biratnagar,Bhaktapur
101,3,100,47,1,,,CARD,SALE,186.84,186.84,2023-12-13,Biratnagar,Bhaktapur
